Episode,TotalReward,Epsilon
0,-15.0633,0.995
1,-31.1842,0.990025
2,-27.9782,0.985075
3,24.3321,0.98015
4,-17.0849,0.975249
5,2.10811,0.970373
6,-0.217405,0.965521
7,-4.56853,0.960693
8,-12.2067,0.95589
9,44.0321,0.95111
10,-59.332,0.946355
11,11.4408,0.941623
12,20.7074,0.936915
13,-19.6674,0.93223
14,-9.35893,0.927569
15,-6.15102,0.922931
16,-9.15875,0.918316
17,27.6357,0.913725
18,28.5521,0.909156
19,-16.6396,0.90461
20,1.69864,0.900087
21,1.49895,0.895587
22,-30.6688,0.891109
23,-32.7005,0.886654
24,-10.7585,0.88222
25,-44.6845,0.877809
26,27.8582,0.87342
27,-15.0485,0.869053
28,-42.827,0.864708
29,6.87752,0.860384
30,12.557,0.856082
31,44.9156,0.851802
32,-33.758,0.847543
33,15.4698,0.843305
34,12.2298,0.839089
35,55.6629,0.834893
36,-10.5758,0.830719
37,4.17234,0.826565
38,-11.7594,0.822432
39,17.2648,0.81832
40,21.5161,0.814229
41,16.2006,0.810157
42,-59.3539,0.806107
43,-65.1303,0.802076
44,-36.3561,0.798066
45,-5.92919,0.794075
46,-14.5458,0.790105
47,9.2788,0.786154
48,-21.8123,0.782224
49,-76.0498,0.778313
50,-6.88774,0.774421
51,20.9325,0.770549
52,15.7669,0.766696
53,-29.2804,0.762863
54,8.14233,0.759048
55,19.2136,0.755253
56,16.2132,0.751477
57,-12.6088,0.747719
58,28.6854,0.743981
59,-15.728,0.740261
60,-20.6956,0.73656
61,9.11529,0.732877
62,11.6608,0.729212
63,-0.628538,0.725566
64,15.9827,0.721939
65,-7.7965,0.718329
66,2.43341,0.714737
67,3.97594,0.711164
68,16.9688,0.707608
69,8.74594,0.70407
70,14.5144,0.700549
71,-15.1101,0.697047
72,-6.80964,0.693561
73,7.93277,0.690094
74,-45.372,0.686643
75,18.6984,0.68321
76,19.1324,0.679794
77,-11.3564,0.676395
78,-20.4179,0.673013
79,-31.6812,0.669648
80,20.5989,0.6663
81,23.848,0.662968
82,-4.03013,0.659653
83,17.2524,0.656355
84,-17.7193,0.653073
85,39.3676,0.649808
86,15.3655,0.646559
87,8.2948,0.643326
88,11.805,0.640109
89,0.779819,0.636909
90,-15.1599,0.633724
91,-8.96973,0.630556
92,28.5164,0.627403
93,28.3639,0.624266
94,-6.10398,0.621145
95,32.4312,0.618039
96,53.8816,0.614949
97,23.3752,0.611874
98,39.6261,0.608815
99,41.1327,0.60577
100,58.8597,0.602742
101,44.8595,0.599728
102,59.9663,0.596729
103,95.4854,0.593746
104,50.1115,0.590777
105,34.6994,0.587823
106,82.0431,0.584884
107,103.858,0.581959
108,127.097,0.57905
109,67.7596,0.576154
110,99.76,0.573274
111,89.0158,0.570407
112,59.4625,0.567555
113,102.594,0.564717
114,83.5724,0.561894
115,99.5904,0.559084
116,118.819,0.556289
117,124.852,0.553508
118,62.3227,0.55074
119,138.143,0.547986
120,70.2493,0.545246
121,112.914,0.54252
122,124.783,0.539808
123,129.346,0.537108
124,99.2695,0.534423
125,69.6457,0.531751
126,159.929,0.529092
127,112.58,0.526447
128,112.645,0.523814
129,105.877,0.521195
130,148.369,0.518589
131,91.9599,0.515996
132,146.42,0.513416
133,133.235,0.510849
134,148.506,0.508295
135,113.586,0.505754
136,189.626,0.503225
137,159.234,0.500709
138,155.882,0.498205
139,193.639,0.495714
140,169.075,0.493236
141,147.604,0.490769
142,174.608,0.488316
143,149.578,0.485874
144,152.997,0.483445
145,164.089,0.481027
146,204.231,0.478622
147,146.416,0.476229
148,154.785,0.473848
149,151.137,0.471479
150,176.461,0.469121
151,203.374,0.466776
152,183.492,0.464442
153,183.197,0.46212
154,164.432,0.459809
155,189.477,0.45751
156,160.372,0.455222
157,161.865,0.452946
158,151.135,0.450682
159,152.891,0.448428
160,218.459,0.446186
161,158.897,0.443955
162,157.212,0.441735
163,186.703,0.439527
164,167.44,0.437329
165,188.508,0.435142
166,156.084,0.432967
167,185.633,0.430802
168,203.573,0.428648
169,177.391,0.426505
170,205.089,0.424372
171,208.547,0.42225
172,199.637,0.420139
173,138.94,0.418038
174,205.419,0.415948
175,185.982,0.413868
176,183.474,0.411799
177,196.028,0.40974
178,189.206,0.407691
179,166.978,0.405653
180,214.612,0.403625
181,182.717,0.401606
182,196.336,0.399598
183,188.366,0.3976
184,183.978,0.395612
185,147.547,0.393634
186,218.788,0.391666
187,176.952,0.389708
188,186.782,0.387759
189,208.476,0.385821
190,198.477,0.383891
191,233.98,0.381972
192,199.282,0.380062
193,204.922,0.378162
194,221.64,0.376271
195,230.038,0.37439
196,176.68,0.372518
197,191.323,0.370655
198,172,0.368802
199,180.885,0.366958
200,241.513,0.365123
201,227.117,0.363297
202,191.217,0.361481
203,220.202,0.359674
204,213.368,0.357875
205,148.411,0.356086
206,223.412,0.354305
207,190.635,0.352534
208,225.02,0.350771
209,234.132,0.349017
210,150.134,0.347272
211,195.447,0.345536
212,204.608,0.343808
213,212.459,0.342089
214,215.359,0.340379
215,259.308,0.338677
216,193.393,0.336983
217,253.105,0.335298
218,198.917,0.333622
219,230.257,0.331954
220,221.121,0.330294
221,247.853,0.328643
222,237.908,0.326999
223,212.599,0.325364
224,233.854,0.323738
225,206.674,0.322119
226,220.785,0.320508
227,229.129,0.318906
228,204.994,0.317311
229,222.736,0.315725
230,232.285,0.314146
231,238.968,0.312575
232,206.328,0.311012
233,230.393,0.309457
234,214.778,0.30791
235,218.326,0.306371
236,253.771,0.304839
237,241.141,0.303315
238,246.906,0.301798
239,244,0.300289
240,254.722,0.298788
241,215.94,0.297294
242,265.786,0.295807
243,241.276,0.294328
244,255.463,0.292856
245,260.176,0.291392
246,236.036,0.289935
247,230.508,0.288486
248,246.991,0.287043
249,223.746,0.285608
250,241.818,0.28418
251,232.728,0.282759
252,230.928,0.281345
253,234.914,0.279938
254,212.779,0.278539
255,254.303,0.277146
256,252.643,0.27576
257,237.4,0.274382
258,227.097,0.27301
259,270.32,0.271645
260,239.824,0.270286
261,257.601,0.268935
262,242.979,0.26759
263,252.934,0.266252
264,262.343,0.264921
265,270.42,0.263596
266,239.466,0.262278
267,225.816,0.260967
268,212.7,0.259662
269,255.479,0.258364
270,290.76,0.257072
271,232.541,0.255787
272,259.312,0.254508
273,244.656,0.253235
274,243.265,0.251969
275,201.855,0.250709
276,226.855,0.249456
277,236.138,0.248208
278,260.889,0.246967
279,250.935,0.245733
280,245.426,0.244504
281,266.402,0.243281
282,263.144,0.242065
283,268.375,0.240855
284,186.612,0.23965
285,227.337,0.238452
286,240.696,0.23726
287,227.616,0.236074
288,270.063,0.234893
289,242.734,0.233719
290,242.744,0.23255
291,247.784,0.231387
292,227.461,0.23023
293,251.161,0.229079
294,262.786,0.227934
295,261.958,0.226794
296,219.119,0.22566
297,244.054,0.224532
298,263.172,0.223409
299,238.735,0.222292
300,250.253,0.221181
301,258.401,0.220075
302,249.187,0.218974
303,228.589,0.21788
304,246.228,0.21679
305,276.114,0.215706
306,238.249,0.214628
307,248.224,0.213555
308,279.815,0.212487
309,256.493,0.211424
310,263.229,0.210367
311,260.521,0.209315
312,222.83,0.208269
313,263.089,0.207227
314,263.585,0.206191
315,261.125,0.20516
316,262.178,0.204135
317,268.803,0.203114
318,259.364,0.202098
319,275.467,0.201088
320,264.301,0.200082
321,250.96,0.199082
322,253.537,0.198087
323,286.863,0.197096
324,263.721,0.196111
325,293.804,0.19513
326,288.082,0.194154
327,267.427,0.193184
328,302.822,0.192218
329,278.907,0.191257
330,270.246,0.1903
331,258.891,0.189349
332,252.816,0.188402
333,283.559,0.18746
334,284.417,0.186523
335,290.126,0.18559
336,284.035,0.184662
337,278.617,0.183739
338,275.46,0.18282
339,297.384,0.181906
340,277.46,0.180997
341,253.629,0.180092
342,289.682,0.179191
343,273.982,0.178295
344,255.581,0.177404
345,274.858,0.176517
346,271.732,0.175634
347,295.299,0.174756
348,256.196,0.173882
349,304.389,0.173013
350,303.703,0.172148
351,251.674,0.171287
352,255.543,0.170431
353,280.06,0.169578
354,263.03,0.168731
355,297.394,0.167887
356,292.384,0.167047
357,273.794,0.166212
358,282.2,0.165381
359,265.834,0.164554
360,288.652,0.163731
361,268.507,0.162913
362,268.216,0.162098
363,288.609,0.161288
364,275.215,0.160481
365,275.144,0.159679
366,291.164,0.158881
367,283.453,0.158086
368,295.943,0.157296
369,261.481,0.156509
370,303.21,0.155727
371,298.42,0.154948
372,294.318,0.154173
373,291.016,0.153402
374,260.916,0.152635
375,249.104,0.151872
376,309.502,0.151113
377,264.667,0.150357
378,272.305,0.149606
379,299.018,0.148857
380,283.232,0.148113
381,289.363,0.147373
382,299.131,0.146636
383,266.603,0.145903
384,288.146,0.145173
385,278.291,0.144447
386,299.436,0.143725
387,256.585,0.143006
388,276.319,0.142291
389,303.015,0.14158
390,282.353,0.140872
391,291.144,0.140168
392,301.086,0.139467
393,268.717,0.138769
394,293.292,0.138076
395,303.866,0.137385
396,291.256,0.136698
397,291.022,0.136015
398,289.735,0.135335
399,277.48,0.134658
400,285.11,0.133985
401,292.307,0.133315
402,289.153,0.132648
403,300.686,0.131985
404,295.802,0.131325
405,277.937,0.130668
406,299.252,0.130015
407,250.622,0.129365
408,310.183,0.128718
409,298.79,0.128075
410,306.07,0.127434
411,286.477,0.126797
412,306.908,0.126163
413,267.327,0.125532
414,289.854,0.124905
415,271.368,0.12428
416,307.701,0.123659
417,282.208,0.12304
418,291.971,0.122425
419,289.037,0.121813
420,308.033,0.121204
421,309.877,0.120598
422,308.219,0.119995
423,260.41,0.119395
424,272.511,0.118798
425,298.043,0.118204
426,300.036,0.117613
427,280.217,0.117025
428,275.845,0.11644
429,283.417,0.115858
430,293.379,0.115278
431,273.138,0.114702
432,271.369,0.114128
433,287.156,0.113558
434,273.557,0.11299
435,294.055,0.112425
436,318.086,0.111863
437,298.25,0.111304
438,303.504,0.110747
439,300.681,0.110193
440,312.956,0.109642
441,300.863,0.109094
442,299.307,0.108549
443,291.071,0.108006
444,290.037,0.107466
445,286.612,0.106929
446,313.849,0.106394
447,272.282,0.105862
448,279.803,0.105333
449,304.063,0.104806
450,292.49,0.104282
451,305.232,0.103761
452,292.719,0.103242
453,304.603,0.102726
454,264.356,0.102212
455,303.867,0.101701
456,298.723,0.101192
457,304.928,0.100686
458,302.473,0.100183
459,291.378,0.0996821
460,292.447,0.0991837
461,304.285,0.0986878
462,305.325,0.0981943
463,319.53,0.0977034
464,288.765,0.0972148
465,287.622,0.0967288
466,308.098,0.0962451
467,284.352,0.0957639
468,308.145,0.0952851
469,315.093,0.0948086
470,313.11,0.0943346
471,305.777,0.0938629
472,301.748,0.0933936
473,290.014,0.0929266
474,276.264,0.092462
475,309.041,0.0919997
476,301.355,0.0915397
477,317.003,0.091082
478,321.17,0.0906266
479,286.462,0.0901735
480,315.025,0.0897226
481,307.304,0.089274
482,292.926,0.0888276
483,297.93,0.0883835
484,310.51,0.0879416
485,297.536,0.0875019
486,321.091,0.0870643
487,316.693,0.086629
488,290.543,0.0861959
489,299.681,0.0857649
490,308.295,0.0853361
491,287.931,0.0849094
492,297.45,0.0844848
493,316.882,0.0840624
494,307.369,0.0836421
495,311.978,0.0832239
496,305.245,0.0828078
497,320.243,0.0823937
498,306.935,0.0819818
499,294.442,0.0815719
500,313.77,0.081164
501,314.053,0.0807582
502,289.883,0.0803544
503,321.069,0.0799526
504,316.951,0.0795529
505,306.838,0.0791551
506,303.025,0.0787593
507,309.878,0.0783655
508,313.02,0.0779737
509,314.707,0.0775838
510,289.493,0.0771959
511,300.992,0.0768099
512,307.489,0.0764259
513,299.163,0.0760437
514,312.742,0.0756635
515,326.425,0.0752852
516,306.132,0.0749088
517,317.298,0.0745342
518,305.335,0.0741616
519,312.842,0.0737908
520,288.676,0.0734218
521,305.571,0.0730547
522,303.39,0.0726894
523,300.953,0.072326
524,308.673,0.0719643
525,310.969,0.0716045
526,313.682,0.0712465
527,322.465,0.0708903
528,331.394,0.0705358
529,320.039,0.0701831
530,322.559,0.0698322
531,321.232,0.0694831
532,309.588,0.0691356
533,322.685,0.06879
534,306.429,0.068446
535,298.849,0.0681038
536,312.871,0.0677633
537,302.11,0.0674245
538,296.828,0.0670873
539,328.503,0.0667519
540,314.176,0.0664181
541,294.779,0.066086
542,324.289,0.0657556
543,302.475,0.0654268
544,322.951,0.0650997
545,324.618,0.0647742
546,315.667,0.0644503
547,311.488,0.0641281
548,278.854,0.0638074
549,317.023,0.0634884
550,316.497,0.063171
551,329.45,0.0628551
552,313.106,0.0625408
553,310.061,0.0622281
554,323.642,0.061917
555,309.928,0.0616074
556,329.551,0.0612994
557,294.457,0.0609929
558,301.527,0.0606879
559,303.872,0.0603845
560,310.426,0.0600825
561,320.716,0.0597821
562,327.002,0.0594832
563,311.267,0.0591858
564,319.686,0.0588899
565,332.196,0.0585954
566,319.063,0.0583024
567,318.438,0.0580109
568,330.555,0.0577209
569,314.834,0.0574323
570,312.96,0.0571451
571,305.471,0.0568594
572,318.452,0.0565751
573,320.592,0.0562922
574,313.128,0.0560108
575,313.926,0.0557307
576,314.19,0.055452
577,330.04,0.0551748
578,319.598,0.0548989
579,315.261,0.0546244
580,312.392,0.0543513
581,309.722,0.0540795
582,322.735,0.0538091
583,317.145,0.0535401
584,329.347,0.0532724
585,305.38,0.053006
586,323.119,0.052741
587,308.161,0.0524773
588,320.892,0.0522149
589,322.938,0.0519538
590,310.318,0.0516941
591,300.76,0.0514356
592,329.519,0.0511784
593,331.732,0.0509225
594,305.241,0.0506679
595,310.411,0.0504146
596,319.638,0.0501625
597,309.005,0.05
598,324.793,0.05
599,313.52,0.05
600,316.34,0.05
601,312.496,0.05
602,320.583,0.05
603,304.618,0.05
604,314.175,0.05
605,311.634,0.05
606,308.312,0.05
607,326.35,0.05
608,328.343,0.05
609,326.219,0.05
610,320.48,0.05
611,328.399,0.05
612,322.198,0.05
613,332.633,0.05
614,318.752,0.05
615,327.094,0.05
616,296.456,0.05
617,316.207,0.05
618,311.159,0.05
619,322.55,0.05
620,305.278,0.05
621,325.953,0.05
622,317.192,0.05
623,306.745,0.05
624,318.386,0.05
625,316.309,0.05
626,330.084,0.05
627,321.908,0.05
628,322.109,0.05
629,308.255,0.05
630,330.935,0.05
631,322.407,0.05
632,323.76,0.05
633,299.635,0.05
634,331.094,0.05
635,300.838,0.05
636,322.855,0.05
637,308.499,0.05
638,321.66,0.05
639,313.269,0.05
640,322.662,0.05
641,326.579,0.05
642,300.668,0.05
643,332.728,0.05
644,326.707,0.05
645,324.933,0.05
646,323.821,0.05
647,324.235,0.05
648,327.251,0.05
649,313.191,0.05
650,328.127,0.05
651,309.878,0.05
652,319.396,0.05
653,320.958,0.05
654,323.525,0.05
655,310.964,0.05
656,333.384,0.05
657,316.895,0.05
658,323.995,0.05
659,331.193,0.05
660,320.046,0.05
661,318.362,0.05
662,328,0.05
663,312.135,0.05
664,316.627,0.05
665,313.636,0.05
666,306.471,0.05
667,312.213,0.05
668,315.438,0.05
669,325.188,0.05
670,320.563,0.05
671,309.695,0.05
672,320.958,0.05
673,321.163,0.05
674,324.784,0.05
675,312.934,0.05
676,322.881,0.05
677,334.592,0.05
678,328.044,0.05
679,307.708,0.05
680,323.893,0.05
681,287.223,0.05
682,295.711,0.05
683,318.763,0.05
684,320.328,0.05
685,300.101,0.05
686,322.727,0.05
687,322.122,0.05
688,333.746,0.05
689,310.101,0.05
690,326.689,0.05
691,316.932,0.05
692,321.115,0.05
693,322.443,0.05
694,324.014,0.05
695,321.721,0.05
696,334.139,0.05
697,326.671,0.05
698,311.303,0.05
699,324.019,0.05
700,331.197,0.05
701,319.204,0.05
702,308.093,0.05
703,318.751,0.05
704,322.009,0.05
705,329.936,0.05
706,317.429,0.05
707,317.656,0.05
708,310.727,0.05
709,328.875,0.05
710,305.452,0.05
711,312.644,0.05
712,312.94,0.05
713,305.546,0.05
714,319.382,0.05
715,322.057,0.05
716,314.863,0.05
717,318.228,0.05
718,316.742,0.05
719,311.84,0.05
720,333.772,0.05
721,308.291,0.05
722,313.055,0.05
723,288.974,0.05
724,310.625,0.05
725,307.369,0.05
726,309.016,0.05
727,315.056,0.05
728,322.007,0.05
729,320.475,0.05
730,329.54,0.05
731,326.196,0.05
732,333.139,0.05
733,312.503,0.05
734,328.487,0.05
735,316.324,0.05
736,320.757,0.05
737,324.103,0.05
738,303.237,0.05
739,320.275,0.05
740,330.682,0.05
741,321.172,0.05
742,318.109,0.05
743,320.745,0.05
744,324.411,0.05
745,327.083,0.05
746,312.32,0.05
747,315.462,0.05
748,300.941,0.05
749,320.484,0.05
750,327.745,0.05
751,301.764,0.05
752,317.336,0.05
753,308.797,0.05
754,321.176,0.05
755,324.695,0.05
756,304.727,0.05
757,330.996,0.05
758,321.494,0.05
759,312.297,0.05
760,322.912,0.05
761,324.746,0.05
762,311.036,0.05
763,321.17,0.05
764,318.897,0.05
765,318.206,0.05
766,312.648,0.05
767,302.911,0.05
768,321.1,0.05
769,307.157,0.05
770,321.056,0.05
771,328.935,0.05
772,311.674,0.05
773,328.172,0.05
774,317.376,0.05
775,315.291,0.05
776,332.074,0.05
777,316.79,0.05
778,297.015,0.05
779,312.115,0.05
780,312.666,0.05
781,318.911,0.05
782,322.706,0.05
783,327.747,0.05
784,308.047,0.05
785,328.505,0.05
786,302.826,0.05
787,321.544,0.05
788,302.6,0.05
789,316.138,0.05
790,318.412,0.05
791,329.566,0.05
792,322.684,0.05
793,322.763,0.05
794,297.713,0.05
795,306.351,0.05
796,323.793,0.05
797,331.559,0.05
798,311.409,0.05
799,307.835,0.05
800,321.484,0.05
801,324.609,0.05
802,311.247,0.05
803,317.73,0.05
804,320.829,0.05
805,313.39,0.05
806,297.107,0.05
807,296.387,0.05
808,331.449,0.05
809,297.95,0.05
810,291.267,0.05
811,327.524,0.05
812,324.159,0.05
813,320.885,0.05
814,315.899,0.05
815,327.624,0.05
816,322.011,0.05
817,323.502,0.05
818,329.627,0.05
819,316.075,0.05
820,319.544,0.05
821,331.161,0.05
822,323.372,0.05
823,322.671,0.05
824,318.86,0.05
825,329.403,0.05
826,324.929,0.05
827,320.617,0.05
828,317.042,0.05
829,302.658,0.05
830,321.566,0.05
831,321.415,0.05
832,304.873,0.05
833,307.363,0.05
834,330.333,0.05
835,323.28,0.05
836,310.48,0.05
837,307.606,0.05
838,308.415,0.05
839,319.968,0.05
840,312.191,0.05
841,329.862,0.05
842,300.645,0.05
843,327.068,0.05
844,300.899,0.05
845,325.531,0.05
846,333.229,0.05
847,317.44,0.05
848,316.966,0.05
849,315.151,0.05
850,299.778,0.05
851,325.545,0.05
852,331.43,0.05
853,306.78,0.05
854,330.048,0.05
855,315.207,0.05
856,331.193,0.05
857,304.147,0.05
858,330.72,0.05
859,327.002,0.05
860,330.889,0.05
861,321.228,0.05
862,316.322,0.05
863,317.166,0.05
864,322.306,0.05
865,311.304,0.05
866,314.004,0.05
867,320.991,0.05
868,321.238,0.05
869,292.378,0.05
870,324.324,0.05
871,313.805,0.05
872,302.905,0.05
873,314.642,0.05
874,325.97,0.05
875,306.291,0.05
876,323.02,0.05
877,320.576,0.05
878,319.686,0.05
879,303.645,0.05
880,321.661,0.05
881,327.177,0.05
882,316.411,0.05
883,321.128,0.05
884,318.646,0.05
885,302.376,0.05
886,323.905,0.05
887,317.201,0.05
888,311.774,0.05
889,302.745,0.05
890,314.051,0.05
891,317.922,0.05
892,323.485,0.05
893,310.457,0.05
894,311.709,0.05
895,312.565,0.05
896,322.214,0.05
897,304.456,0.05
898,311.017,0.05
899,302.76,0.05
900,312.007,0.05
901,329.047,0.05
902,327.484,0.05
903,312.302,0.05
904,317.344,0.05
905,309.525,0.05
906,318.149,0.05
907,329.334,0.05
908,317.818,0.05
909,328.365,0.05
910,320.498,0.05
911,323.055,0.05
912,321.361,0.05
913,319.748,0.05
914,332.588,0.05
915,330.437,0.05
916,329.568,0.05
917,324.296,0.05
918,333.482,0.05
919,314.181,0.05
920,321.02,0.05
921,325.046,0.05
922,321.309,0.05
923,325.637,0.05
924,318.66,0.05
925,324.647,0.05
926,308.091,0.05
927,323.081,0.05
928,314.402,0.05
929,307.926,0.05
930,323.998,0.05
931,312.267,0.05
932,317.095,0.05
933,328.896,0.05
934,314.933,0.05
935,302.797,0.05
936,323.404,0.05
937,320.433,0.05
938,320.217,0.05
939,322.943,0.05
940,328.109,0.05
941,319.636,0.05
942,329.552,0.05
943,316.236,0.05
944,314.095,0.05
945,318.25,0.05
946,308.796,0.05
947,311.083,0.05
948,324.383,0.05
949,320.288,0.05
950,320.964,0.05
951,328.24,0.05
952,296.954,0.05
953,325.942,0.05
954,331.695,0.05
955,332.592,0.05
956,333.319,0.05
